Name,Title,Rating,Comment
Subhasree,"







  
  
    Must read
  
",5.0 out of 5 stars,"







  
  
    An hour spent in reading this splendid book is surely a journey around the cosmos.There is authentic style of shining intellect in every pages.A world famous book for general minds.
  
"
chandrashekar,"







  
  
    A very good book and timely delivery
  
",5.0 out of 5 stars,"







  
  
    A very good book and timely delivery, but the book is not really for layman as proclaimed.some of the concepts and theories require a high level of science background to understand.
  
"
Kindle Customer,"







  
  
    Amazing ride to understand the universe
  
",5.0 out of 5 stars,"







  
  
    No doubt that the book must have inspired thousands of people to ask questions and persue the answers for.. How universe has been created? ... Where are we going?No more needs to be written in the review of this great book ..!!
  
"
Vividha,"







  
  
    Great book!!!!!!
  
",5.0 out of 5 stars,"







  
  
    An awesome book If you love whole of universe from starting Is explained from copernicus model to heisenberg uncertainty principle.  It has every bit of information.
  
"
Dhananjay ,"







  
  
    Wow, and thanks 1)basic understanding of history of time ...
  
",5.0 out of 5 stars,"







  
  
    Wow, and thanks1)basic understanding of history of time (from blindfaith to imagination and universe formation  theories )2)pictorial examples felt a little low (B&W images) but that is just .0.9%of a problem )3)worth the money.Carl segan+Stefan hawking= )
  
"
Seema Rai,"







  
  
    Makes you think
  
",5.0 out of 5 stars,"







  
  
    It makes you question not just your existence but the whole meaning of it. Of everything. From the basics to the best. From the person of strongest will and passion.
  
"
Amazon Customer,"







  
  
    Must have in home library
  
",4.0 out of 5 stars,"







  
  
    Very nice book , good for science student to understand about Space
  
"
Shivang Biltoria,"







  
  
    Masterpiece!
  
",5.0 out of 5 stars,"







  
  
    Stephen Hawking is one of the greatest mind, world ever witnessed. A brief history of time is the answer for all your questions about the universe! Kowtow.
  
"
ACHU,"







  
  
    FEW IMAGES
  
",5.0 out of 5 stars,"







  
  
    Easy to understand,simple language,but there is only few images and (graphs) which are black and white.The book is like a study material.I hope this will help other readers about this book.
  
"
Anil Kashyap,"







  
  
    One word about the book..... Awesome!
  
",5.0 out of 5 stars,"







  
  
    It's a must read book for everyone at least once in a life. It will change your perception towards the universe.
  
"
Amazon Customer,"







  
  
    Value for money.
  
",5.0 out of 5 stars,"







  
  
    Product ReviewGood quality paper and printing ink used.Overall Satisfaction: 5 Star
  
"
Dabangg,"







  
  
    Excellent book
  
",5.0 out of 5 stars,"







  
  
    I like this kind of books. Small, precise and without repetition.
  
"
Mohit,"







  
  
    Slow Read. Study Material
  
",5.0 out of 5 stars,"







  
  
    This book is a slow read as you will need to imagine the universe and the theories to understand. It is a brilliant life work of the author.
  
"
Snigdhanshu kumar sahu,"







  
  
    Bad paper quality of the book received
  
",1.0 out of 5 stars,"







  
  
    Paper quality was unexpectedly bad...Returned the product immediately after receiving..Book content is good but quality of print deliver by the saler was not good...
  
"
Barath,"







  
  
    Great Book.
  
",5.0 out of 5 stars,"







  
  
    Good book to read all the basic laws of universe and Steven Hawkins is always Awesome and brilliant. Could have added the equations too for all the laws for academic purpose but this is great enough for a common person.
  
"
Vrushank D.,"







  
  
    Must read for any Sci-Fi fan
  
",5.0 out of 5 stars,"







  
  
    If you're into science fiction, consider reading this book. Written by Professor Hawking himself, the book describes our universe and its creation purely from a scientific point of view in a chronological fashion.
  
"
Abhisek Mohanty,"







  
  
    Best book ever
  
",5.0 out of 5 stars,"







  
  
    Best book ever......one of the best book for absolute beginners who r interested in astrophysics.......Don't hesitate in buying just go for it.....
  
"
Satya Rutvik Vepa,"







  
  
    Can't get to his imagination
  
",5.0 out of 5 stars,"







  
  
    This man is at a higher level of thinking it blows the mind, the way he wrote it
  
"
Mridul boro,"







  
  
    Its amazing...
  
",5.0 out of 5 stars,"







  
  
    Must read book...its language is very easy and makes interesting to read. When you read you feel like taking a journey to space. It has amazed me with astonishing facts of physical world. I loved it..
  
"
IT is SJ,"







  
  
    Awesome
  
",5.0 out of 5 stars,"







  
  
    Best buy.Good quality clear print. Got it for INR 150/- . A real steal at this price. 5/5 stars for both content and the paperback quality
  
"
Harshit saxena,"







  
  
    Truly Astonishing<3
  
",5.0 out of 5 stars,"







  
  
    If you want to buy , Just Do it.I have suggested this book to all my fellows.And if you are here after watching the Movie [""The theory of Everything""] then i know you are motivated , Just Go it It !
  
"
Aayush Boliya,"







  
  
    Superb!
  
",5.0 out of 5 stars,"







  
  
    I'm truly satisfied with it. It's awesome, and Original. Papers are best quality, Content is, we all know written by Legend Stephen Hawking and introduced by one of the greatest physicist of all time - Carl Sagan. Price is affordable and one must buy this as an introduction to ""Astrophysics for Beginners.""
  
"
shramev sharma,"







  
  
    Get ready to be amazed
  
",5.0 out of 5 stars,"







  
  
    Absolutely  amazing must read for all those into science or those who want to  pursue it .He in very simple terms tries to explain complex advances in science in very simple language . Although it was difficult to comprehend at some  sections but  it is definitely must read  book.
  
"
Apoorv Sahu,"







  
  
    Do you also feel Goosebumps while reading some epic $hit.?
  
",5.0 out of 5 stars,"







  
  
    Then go for it... This is a good book and believe me you'll get the goosebumps all the way. Very well written by Sir Stephen Hawking considering that anyone can read and enjoy the book irrespective of their field of work.
  
"
Subharaj Choudhury,"







  
  
    Best Seller by a master class scientist
  
",5.0 out of 5 stars,"







  
  
    Amazing book. Describing every aspect of Physics and Astronomy in such a lucid and easy language just as telling a story. Stephen Hawkings was a world class and higt talented scientist. His death is of immense loss for world of Physics and Astronomy. Hats off. RIP  Don't think twice before purchasing this book if you are interested in Physics and Astronomy.
  
"
Kartik,"







  
  
    Best astrophysics book
  
",5.0 out of 5 stars,"







  
  
    If you're interested in atrophysics you must read this book since it was Stephen Hawking and he described all basic things in detail. If have read physics then it would be easy to understand
  
"
Veerappan Sundaram,"







  
  
    Right pricing and received in good condition
  
",5.0 out of 5 stars,"







  
  
    Right pricing and received in good condition. One of good options as gift for kids/students those who are interested  in science
  
"
Saraswathi,"







  
  
    Highly recommended book
  
",5.0 out of 5 stars,"







  
  
    I highly recommend this book to every one who are interested in cosmology. This book gives explanation in a simple manner which could easily be understood. Basics of everything about space is there inside this wonderful book.. even about the greatest intellectual achievement of mankind-Quantum Mechanics.
  
"
wayne highe,"







  
  
    Who am i to express views for this book?
  
",5.0 out of 5 stars,"







  
  
    this is exactly what happens  when a scientist devlops a good style to express its geeky view.This physics-daddy will give u good space-ride.
  
"
A Kundu,"







  
  
    Must buy
  
",5.0 out of 5 stars,"







  
  
    I considered buying this book long ago but could not manage somehow. This book is one of a kind and is definitely a prize possession written by the scientist of the millennium.
  
"
Amazon Customer,"







  
  
    Read and get more educated.
  
",4.0 out of 5 stars,"







  
  
    Difficult, but educating. Very difficult to complete in one set of readings.Require mental and imaginative involvement.
  
"
Shankar Nag,"







  
  
    Find out how intelligent human race is!!
  
",5.0 out of 5 stars,"







  
  
    Stephen Hawkings opens to you the path to discover the entire history of human intelligence in exploring the creation and the aftermath events of universe. He explains the science of universe in the simplest yet the beautiful way possible. Wonderful reading
  
"
Rohith,"







  
  
    good book
  
",4.0 out of 5 stars,"







  
  
    nicely written book by a master, makes it easy for a kid to understand the universe
  
"
Vedika K.,"







  
  
    The book is absolutely wonderful to read and is keeping me engrossed in it
  
",4.0 out of 5 stars,"







  
  
    The book is absolutely wonderful to read and is keeping me engrossed in it. But a major problem turned up- my book is missing pages from pg20-pg37. This wasn’t expected. I am missing out on a lot of information like this that the book has to offer. So i hope this doesn’t happen next time someone orders a book that the pages just aren’t there.
  
"
Abir gupta,"







  
  
    Mind blowing book
  
",5.0 out of 5 stars,"







  
  
    Very good book. Anyone can read it. Easy to understand, and the concept are explained in simple words. Many new and interesting concept are also discussed. Great book... And Amazon delivery service and packaging was great...Just loved it...
  
"
Omer Ibnu Hifzu,"







  
  
    Evolution of our thoughts about the universe.
  
",5.0 out of 5 stars,"







  
  
    There are no words to explain the greatness and clarity of this book. The author takes the reader through a journey from Aristotle - proving the Earth was round - to Einstein and the author himself, providing the reader a basic idea of the evolution of our thoughts about the universe. Anyone with basic English can understand the book thorough, and as a plus point the ""only"" equation he has used in this book is Einstein's famous E=mc^2, making it easier for even an absolute beginner to grasp the concept of this book.
  
"
Nayan M.,"







  
  
    Content is Genius but paper quality is poor...
  
",4.0 out of 5 stars,"







  
  
    Content is Genius but paper quality is poor.@Publisher: plz don't forget you are publishing THE Stephen Hawking & his readers have Class. Kindly do not compromise on Quality rather charge accordingly.Thanks & Enjoy Reading 😊
  
"
Vivek Oza,"







  
  
    Great metaphysics book.
  
",5.0 out of 5 stars,"







  
  
    This is first metaphysics book I read. There is no doubt, this legendary author had given beautiful insights about theories in this book.I would like to put a caution to future readers:This book require patience to digest some concepts. If you're sure you can get over it, then this is gem for science lovers.This book
  
"
Suvendu  Mandal,"







  
  
    It's great for Physics enthusiastic students. Must read.
  
",4.0 out of 5 stars,"







  
  
    I just loved the book. If you have even a small fraction of interest in Physics, you will love it. That's for sure.Page quality of this book is moderate, not great I would say.Though the packaging of the book while delivering was good enough, still I found some bad scratches on the front cover.As I brought the paperback version of the book, it's light weight and easily affordable.
  
"
Thunderbolt,"







  
  
    golden work
  
",5.0 out of 5 stars,"







  
  
    steve makes abstract physics ideas accessible to the layman. i am particularly intrigued by the concept of singularity. excellent book. also what makes the book more palatable to the layman is that it is explained without complex mathematical equations.
  
"
Rinkesh Bafna,"







  
  
    Not for someone who doesn't come from Science background.
  
",1.0 out of 5 stars,"







  
  
    This book is really not for someone with no science background. I was hoping to dive into the subject of science with a very naive knowledge I currently possess. However, I realize that, this is not for people like me. Maybe if you're studying science, you may find it interesting.
  
"
Sreeraj v,"







  
  
    One of a kind!
  
",5.0 out of 5 stars,"







  
  
    This type of books can only be written by people who had battled against all odds, and Stephen Hawkings is the best example for this. If you do not have the basic knowledge of our universe and you are curious to know, this is the book you want to read.
  
"
Amazon Customer,"







  
  
    Excellent in all respects
  
",5.0 out of 5 stars,"







  
  
    No point in rating the book because we all know its value. The other things, price, timely delivery, etc are excellent.
  
"
Aware Customer,"







  
  
    A must buy
  
",5.0 out of 5 stars,"







  
  
    The book explains the toughest of concepts in the easiest way imaginable. A very intriguing and wonderful read, it keeps you hooked until the last page
  
"
Ashok Kumar Rudra,"







  
  
    Wonderful
  
",5.0 out of 5 stars,"







  
  
    One of the greatest physicists tried to explain a very difficult subject for non experts. Even a layman like me got to understand a small bit about the universe.
  
"
Ishaan Desai,"







  
  
    It is pure joy to travel with Hawking through the realm of theoretical ...
  
",5.0 out of 5 stars,"







  
  
    It is pure joy to travel with Hawking through the realm of theoretical and astro-physics ! This book is a reminder that science is an art where the scientist creates theories and later proves them.
  
"
Pragyamatic,"







  
  
    Print media poor
  
",4.0 out of 5 stars,"







  
  
    Print media is of very poor quality.. Grey paper and small fonts.
  
"
Deepa,"







  
  
    Good quality{ printed words, pages, images}
  
",5.0 out of 5 stars,"







  
  
    A very good choice for those who are interested in space and time stuff. Hawking has described space and time in really great and easy way. It is a great book to read! Quality of the things mentioned in the headline are very good. Size of this book is small and handy.
  
"
Amazon Customer,"







  
  
    A wonderful and informative book about the Universe and the physical laws.
  
",5.0 out of 5 stars,"







  
  
    A good read for anyone who wants to know how the universe evolved into the modern condition and how we came to be. It is enlightening and increases one's interest in science.
  
"
sunita s.,"







  
  
    Goof
  
",4.0 out of 5 stars,"







  
  
    Book is so nice.sonetimes you may find it difficult to understand as theory is more and no mathematical equations are given
  
"
pravin dudhane,"







  
  
    Mr.hawking  I think you were the best physicist you are the best physicist and you will be best physicist I like you
  
",5.0 out of 5 stars,"







  
  
    This book is awesome it is based on Morden cosmology it has been the best seller in London for 4 years it is written in such a simple words that a average reader  can read it too .I highly recommend this book for the ones who are the fans of cosmology I appreciate this book and it's author MR.hawking
  
"
⚡,"







  
  
    Valuable book
  
",5.0 out of 5 stars,"







  
  
    It is fundamental book especially to science students.  It is very useful to understand basic knowledge of physics and gives motivation to break unknown mysteries of physics.
  
"
Naveen kumar,"







  
  
    Hawking is a genius  he wrote complex stuff  and made it easy for readers
  
",5.0 out of 5 stars,"







  
  
    This book is so awesome I am easily able to understand  stuff in this book this is a marvelous. You should  buy this. I read some reviews  saying they don't  understand  this due to relativity, quantum mechanics, singularities, and more but I  am just 12 years and I understoodevery bit of it. Must buy
  
"
Preetam Ghosh,"







  
  
    Going through this book will give you a good hands on knowledge of physics of the modern world
  
",5.0 out of 5 stars,"







  
  
    This book totally justifies the title it is given, it is basically a journey of the evolution of Physics our world has seen to date. Some parts can get really a bit difficult to understand for a non physicist.Going through this book will give you a good hands on knowledge of physics of the modern world.
  
"
Amit Kumar,"







  
  
    Better than any other fiction book
  
",5.0 out of 5 stars,"







  
  
    For all those who believe in the galaxy far far away. It's a book that evey science enthusiast should read.
  
"
Ravi,"







  
  
    Good informative book
  
",5.0 out of 5 stars,"







  
  
    Good informative book
  
"
"Manash, Gangarampur","







  
  
    Fake book doesn't justify price
  
",2.0 out of 5 stars,"







  
  
    Content of book is good but it is a fake book.The  paper quality of this book is so poor like newspaper. Looks like a footpathbook & price justify only rs.70
  
"
Mohit,"







  
  
    Excellent
  
",5.0 out of 5 stars,"







  
  
    Really mind opening. Although some parts were a little difficult to grasp,but mostly the book was written in a way to explain the content to readers of all levels.
  
"
Jayti Bhatnagar,"







  
  
    Disgusting
  
",1.0 out of 5 stars,"







  
  
    Quality is very very bad. It couldn't get worse, chapter 1 is missing and the book starts from page 15.. truly terrible, never expected such pathetic service... I will never in future buy from Amazon, after paying the entire amount you are providing such terrible service. Disappointing 👎
  
"
premjith,"







  
  
    A Complete chapter is missing
  
",3.0 out of 5 stars,"







  
  
    All were nice and paper quality is good but there is a chapter which is completely missingAnd the chapter name is: Worm holes and time travelIt is one of the interesting chapter of all but it is missingBut all other contents were just perfect.By the by what can I do f
  
"
YT,"







  
  
    Not Original - low quality paper
  
",2.0 out of 5 stars,"







  
  
    Seems like a first copy. Paper quality is not as good as you would expect for an original book of this standard.
  
"
Amazon Customer,"







  
  
    The book is great but not from the original publisher
  
",4.0 out of 5 stars,"







  
  
    The book is great but not from the original publisher, it should have 240 pgs. as written in the description but it had only 209 ( rest all were part of index). The page quality was not so good.One needs to be very careful while choosing the seller.
  
"
Meghana kankara,"







  
  
    Must read!
  
",5.0 out of 5 stars,"







  
  
    I love it. There is a lot to know. And there is nothing to rate, it's Stephen Hawking and his amazing book. Mostly recommended for science lovers looking forward in doing study in physics.
  
"
Shahrukh Khan,"







  
  
    Best book
  
",5.0 out of 5 stars,"







  
  
    Thanks for amazon to providing this book at low priceAnd tgis book is written in very simple language,  even without mathematical equation.Good experience
  
"
shreyam,"







  
  
    EASY TO UNDERSTAND!!!
  
",5.0 out of 5 stars,"







  
  
    It is very easy to understand. It is interesting to read too I just 7 pages and found it very interesting. Any class 6-10 child can read if he knows the basics!!
  
"
Rohit Kamal Chatterjee,"







  
  
    An extraordinary popular science book.
  
",5.0 out of 5 stars,"







  
  
    This is a wonderful book. I read the book about 15 year back but I want to read it again. This is the first book written by Late physicist Prof. Stephen Hawking, which made him world famous within a short time.
  
"
Amazon Customer,"







  
  
    Poor binding and lack of sharp printing
  
",3.0 out of 5 stars,"







  
  
    The contents and flow of writing is unquestionable. However, binding and sharpness of printing is not of good quality. One star each is reduced for the same...
  
"
Funnyboy,"







  
  
    Very bad print. Figures in the book is too dark
  
",1.0 out of 5 stars,"







  
  
    Received a pirated copy. Sold by Go Books. Very bad print. Figures in the book is too dark. Returning.
  
"
midhun,"







  
  
    excellent book, complicated matter explained in plain simple english
  
",5.0 out of 5 stars,"







  
  
    Got kindle book for 36rs , excellent book , complicated matter explained in plain simple english. Hawking will always be remembered.
  
"
nisu,"







  
  
    👌
  
",5.0 out of 5 stars,"







  
  
     👌just one equation in the book ,easy language to understand 😋✌
  
"
Vinay Tiwari,"







  
  
    Universe getting unravelled.
  
",5.0 out of 5 stars,"







  
  
    Wonderful Book, was made available by Amazon on the best price and in best quality. If you want to understand the nuances and intricacies of the universe and galaxies then this is the perfect book. Written in a language that even a layman can understand, makes this book simply one of the best books written so far. This is a must read for every science buff.
  
"
Arjun Das,"







  
  
    Poor Paper Quality
  
",4.0 out of 5 stars,"







  
  
    There is no point in reviewing the content of the book since it is one of the most popular science books written by one of the greatest scientists of modern era. But the book is not the original one. It is reprinted in India. Hence the poor quality of page and printing. This book is good for personal reading but not for presenting someone else.
  
"
Amazon Customer,"







  
  
    This work of Dr Hawking is absolutely a delight to read as it will take you for a ...
  
",5.0 out of 5 stars,"







  
  
    This book is definitely capable of opening one's mind and can possibly answers deep old questions that one might have. This work of Dr Hawking is absolutely a delight to read as it will take you for a ride into the whimsical universe. The book will surely enlighten some questions that you'll be more glad to pursue throughout his writing. What not to say.. This is A Must read especially for the one who still carry in him a child like curiosity.
  
"
Ujjwal Prakash,"







  
  
    Amazing to read and know about Universe and time magic
  
",5.0 out of 5 stars,"







  
  
    This book will change your view how to visualise the universe ... How theories came up ... Different views n experiments ... Simplified with perfect analogies ... What are the future prospect ... From relativity to quantum realm ... Though book needs certain basic acquaintance with physics n chemistry to comprehend thoroughly ...Genius was Stephen Hawking to see a virtual model of universe at its present state developing from past and time travel and many other interesting dimensions ...
  
"
Subhankar Bhattacharya,"







  
  
    An amazing book, which maps our mind to the World famous Hawking's universe.
  
",5.0 out of 5 stars,"







  
  
    This book is good for making a grand knowledge. Stephen Hawking takes us on a journey from the time when the world believed that Earth was the center of the universe and supported on the back of a giant tortoise to our age when we know better. He uses the Einstein's Energy-Mass relation, the Black Holes Ain't So Black. Hawking makes the Science clear & thrilling.Love this book. It's just a brief history of time from the Big Bang theory to the Black Holes.
  
"
Ankur Rajora,"







  
  
    Full of profound insights into nature of our reality and beyond.
  
",5.0 out of 5 stars,"







  
  
    Accompanying the insights provided by this book with spirited imaginations , you'll get a feel of how far the human intellectual threshold has been pushed from the beginning of scientific revolution and it's new dimensions that have made somewhat trivial the original framework of human reasoning about nature philosophy .
  
"
Memelord,"







  
  
    A book that every human must read
  
",5.0 out of 5 stars,"







  
  
    This book is a mind opener. Stephen Hawking explains how much we've understood about the universe we live in. The book is written in a simple manner so every one can understand the basic outlook of time, space and the universe using all the theories man has developed til date. Stephen Hawking is an excellent teacher who knows how to explain science in the simplest way possible- as said by many. This book indeed takes us back in time and explains the reality using science as the basic tool. I believe every human should read a book like this one and should be aware of the things that have surrounded him. Our quest for the real answer about the true nature of universe will go on till we understand what it is and why it is the way it is.
  
"
Jaswal,"







  
  
    printing quality is Terrible, just terrible
  
",1.0 out of 5 stars,"







  
  
    Legendary writing, everyone knows, am not reviewing that,. But the paper quality, printing quality is Terrible, just terrible. It is worse than the fake books u get at traffic lights.....
  
"
Sugam,"







  
  
    A remarkable book for curious readers!
  
",5.0 out of 5 stars,"







  
  
    Stephen Hawking's A Brief History Of Time has covered the distant shores of scientific history from Copernicus to Einstein and explains the developments and discoveries that have happened till date and how these theories have contributed in expanding our knowledge behind the origin of space, time and universe.Whether one is a physics student, a science enthusiast, or a layman.. this book is capable of sparking a further interest in the reader's mind to explore the vast area of scientific progress as well as problems that are inspiring human minds for years to uncover the mysteries behind the evolution of universe and that of our own existance.
  
"
JEREMIAH J SANTHOSH,"







  
  
    AWESOME BOOK MAKES SCIENCE EASY..........
  
",5.0 out of 5 stars,"







  
  
    BEST BOOK EVER AND AN INSPIRING BOOK WRITTEN IN NORMAL LANGUAGE ACCEPTABLE TO PEOPLE OF ALL KINDS....... WILL SURELY RECOMMEND THIS TO ALL........ CREATES A SPECIAL LOVE FOR SCIENCE
  
"
Amazing Customer,"







  
  
    The content of the book is great. It is understandable to a layman and good ...
  
",5.0 out of 5 stars,"







  
  
    The book will provide you basic knowledge about astrophysics.The content of the book is great.It is understandable to a layman and good for general reading.It will drastically increase your knowledge about our universe and also your curiosity about it.
  
"
Bhole Shankar ,"







  
  
    Time in nutshell
  
",5.0 out of 5 stars,"







  
  
    Lucid concise & understandable for vast type of readers. The book is so interesting that you can't leave it without finally it would be completed. Thank you Dr. Stephen Hwaking
  
"
abhishek tiwari,"







  
  
    amazing
  
",5.0 out of 5 stars,"







  
  
    wht a masterpiece ...by hawking ....easier than einstein relativity
  
"
Harshit Pandey,"







  
  
    About book
  
",5.0 out of 5 stars,"







  
  
    Nice book contains lot of knowledge and lots of information regarding Time
  
"
Maumeeta P.,"







  
  
    A book for the scientists out there but who hate equations
  
",5.0 out of 5 stars,"







  
  
    Very good book for the readers out there who are fond of Science but are not at home with equations and mathematics. I recommend it for the universe-lovers out there!
  
"
Mominur Rahaman,"







  
  
    The way author had written the book a layman person can able to understand the funda of physics.
  
",5.0 out of 5 stars,"







  
  
    I liked the most is the simplicity of the book..the author represents physics in such a way that if a person reads a page he will ended up reading the full book.
  
"
Shareef shaikh,"







  
  
    Three Stars
  
",3.0 out of 5 stars,"







  
  
    Books is not original...I saw original one at cross words and....Font size to increase and quality of print too.
  
"
Ansuman Hazarika,"







  
  
    always best
  
",5.0 out of 5 stars,"







  
  
    no need of reviews for this book, always best
  
"
Ravi,"







  
  
    A Joyride
  
",4.0 out of 5 stars,"







  
  
    Amazing book for space lover.bantam publication, original print.
  
"
Jaskirat Singh,"







  
  
    Amazing work by Stephen sir
  
",5.0 out of 5 stars,"







  
  
    Best book on astronomy and cosmology
  
"
Harasees Singh,"







  
  
    Enjoyed reading this book
  
",5.0 out of 5 stars,"







  
  
    One of the best books by Stephen Hawking. Explained everything clearly about everything, from quantum mechanics to Unification of Physics . Preferred to buy this book
  
"
Amazon Customer,"







  
  
    One Star
  
",1.0 out of 5 stars,"







  
  
    Got fake copy. Returning
  
"
Vikrant,"







  
  
    Time is relative
  
",5.0 out of 5 stars,"







  
  
    I wish it was all true
  
"
Srija,"







  
  
    Comprehensive yet a little technical at times for a layman
  
",3.0 out of 5 stars,"







  
  
    Excellent story telling.Comprehensive yet a little technical at times for a layman.Changed my fundamental understanding of evrything around forever.
  
"
Sajjad Ali Fakih,"







  
  
    Amazon collection of books and timely delivery
  
",5.0 out of 5 stars,"







  
  
    I am impressed with Amazon collection of books on reasonable prices and they delivery within India in a very short time.
  
"
Praveen Aryal,"







  
  
    Worth reading.
  
",5.0 out of 5 stars,"







  
  
    Stephens hawkings one of best work.This book clearly describes everything related to black hole, time.
  
"
Utkarsh,"







  
  
    Best book of all time
  
",5.0 out of 5 stars,"







  
  
    Very good book and one of the best books of all time and I recommend it to everyone to buy it and I am also written by one of the greatest authors of all time Stephen Hawking
  
"
Karan Khatter,"







  
  
    It’s a sci-fi
  
",1.0 out of 5 stars,"







  
  
    Idk I feel you can do better by researching real science and not fall for this assumed pseudoscience assumptions
  
"
Sohel iqbal,"







  
  
    Excellent
  
",4.0 out of 5 stars,"







  
  
    A well known sceintist suffering from such a deasease could  deliver such a findings its amazing
  
"
dileep kumar,"







  
  
    From the beginning to end at your end
  
",5.0 out of 5 stars,"







  
  
    Great book for book lovers easy description with good diagrams grabs ur interest for a longer time must have book in ur collection especially for science lovers
  
"
Amogh B,"







  
  
    Best book to look into the universe
  
",5.0 out of 5 stars,"







  
  
    Well-written book from; even a layman can understand it.
  
"
Aman,"







  
  
    Should be studied by every scientific or non-scientific minds
  
",5.0 out of 5 stars,"







  
  
    Best book who want to know about universe and space-time in a simplified theoretical form. I want to congratulate Stephen hawking that he has been successful in his efforts.
  
"
